,Track,Distance,Condish,Par Time
20,taree,1614,soft,100.48333333333333
21,taree,1614,heavy,101.92
22,taree,1312,good,78.49000000000001
23,taree,1312,soft,78.78666666666668
24,taree,1312,heavy,
25,taree,1007,good,58.032000000000004
26,taree,1007,soft,58.48818181818182
27,taree,1007,heavy,60.26
28,taree,1412,good,84.49
29,taree,1412,soft,85.36555555555555
30,taree,1412,heavy,87.25
31,taree,1257,good,74.59
32,taree,1257,soft,75.61999999999999
33,taree,1257,heavy,76.27666666666666
34,taree,2018,good,127.00999999999999
35,taree,2018,soft,126.295
36,taree,2018,heavy,131.53
37,taree,1408,good,84.19
38,taree,1408,soft,
39,taree,1408,heavy,
40,taree,1255,good,73.73
41,taree,1255,soft,
42,taree,1255,heavy,
43,taree,1609,good,97.68
44,taree,1609,soft,
45,taree,1609,heavy,
46,taree,1005,good,57.685
47,taree,1005,soft,
48,taree,1005,heavy,
49,taree,1308,good,77.46000000000001
50,taree,1308,soft,
51,taree,1308,heavy,
,Track,Distance,Condish,Par Time
1,yarra-valley,1000,good,58.228409090909096
2,yarra-valley,1000,soft,59.42777777777777
3,yarra-valley,1000,heavy,61.422000000000004
4,yarra-valley,1200,good,70.96714285714286
5,yarra-valley,1200,soft,72.42375
6,yarra-valley,1200,heavy,74.31857142857143
7,yarra-valley,1500,good,90.74804878048779
8,yarra-valley,1500,soft,92.91749999999999
9,yarra-valley,1500,heavy,95.6525
10,yarra-valley,1950,good,121.1551282051282
11,yarra-valley,1950,soft,123.85625
12,yarra-valley,1950,heavy,128.638
13,yarra-valley,1009,good,58.97136363636364
14,yarra-valley,1009,soft,59.68
15,yarra-valley,1009,heavy,61.71
16,yarra-valley,1209,good,71.63590909090907
17,yarra-valley,1209,soft,72.63166666666666
18,yarra-valley,1209,heavy,75.19666666666667
19,yarra-valley,1968,good,123.25
20,yarra-valley,1968,soft,125.54
21,yarra-valley,1968,heavy,
22,yarra-valley,1514,good,92.25750000000001
23,yarra-valley,1514,soft,92.654
24,yarra-valley,1514,heavy,96.09
25,yarra-valley,1003,good,
26,yarra-valley,1003,soft,59.94
27,yarra-valley,1003,heavy,
28,yarra-valley,1203,good,
29,yarra-valley,1203,soft,73.05
30,yarra-valley,1203,heavy,
31,yarra-valley,1953,good,
32,yarra-valley,1953,soft,123.295
33,yarra-valley,1953,heavy,
34,yarra-valley,1503,good,
35,yarra-valley,1503,soft,93.24
36,yarra-valley,1503,heavy,
,Track,Distance,Condish,Par Time
1,morphettville,2022,good,64.29
2,morphettville,2022,soft,
3,morphettville,2022,heavy,
4,morphettville,1100,good,65.69227272727271
5,morphettville,1100,soft,66.09
6,morphettville,1100,heavy,68.138
7,morphettville,1600,good,96.57734693877553
8,morphettville,1600,soft,99.40157894736844
9,morphettville,1600,heavy,101.6375
10,morphettville,1519,good,102.435
11,morphettville,1519,soft,
12,morphettville,1519,heavy,
13,morphettville,1800,good,108.82157894736842
14,morphettville,1800,soft,112.92
15,morphettville,1800,heavy,118.3
16,morphettville,1200,good,70.23191176470587
17,morphettville,1200,soft,71.96611111111112
18,morphettville,1200,heavy,74.296
19,morphettville,1050,good,61.1765
20,morphettville,1050,soft,62.781500000000015
21,morphettville,1050,heavy,64.31
22,morphettville,2500,good,160.19416666666666
23,morphettville,2500,soft,163.14000000000001
24,morphettville,2500,heavy,170.97
25,morphettville,2008,good,125.755
26,morphettville,2008,soft,129.0
27,morphettville,2008,heavy,
28,morphettville,2000,good,124.138
29,morphettville,2000,soft,
30,morphettville,2000,heavy,131.31
31,morphettville,1500,good,90.2
32,morphettville,1500,soft,97.41
33,morphettville,1500,heavy,95.46
34,morphettville,2037,good,128.335
35,morphettville,2037,soft,131.11
